id,clvedo,estado,anio
1,"01","Aguascalientes",2020
2,"02","Baja California",2020
3,"03","Baja California Sur",2020
4,"04","Campeche",2020
8,"05","Coahuila de Zaragoza",2020
9,"06","Colima",2020
5,"07","Chiapas",2020
6,"08","Chihuahua",2020
7,"09","Ciudad de México",2020
10,"10","Durango",2020
11,"11","Guanajuato",2020
12,"12","Guerrero",2020
13,"13","Hidalgo",2020
14,"14","Jalisco",2020
15,"15","México",2020
16,"16","Michoacán",2020
17,"17","Morelos",2020
18,"18","Nayarit",2020
19,"19","Nuevo León",2020
20,"20","Oaxaca",2020
21,"21","Puebla",2020
22,"22","Querétaro",2020
23,"23","Quintana Roo",2020
24,"24","San Luis Potosí",2020
25,"25","Sinaloa",2020
26,"26","Sonora",2020
27,"27","Tabasco",2020
28,"28","Tamaulipas",2020
29,"29","Tlaxcala",2020
30,"30","Veracruz de Ignacio de la Llave",2020
31,"31","Yucatán",2020
32,"32","Zacatecas",2020[object Object]